ds,y,vix
2019-01-27 06:00:00,3548.27,37.248
2019-01-27 07:00:00,3544.34,37.248
2019-01-27 08:00:00,3552.04,37.248
2019-01-27 09:00:00,3543.86,37.248
2019-01-27 10:00:00,3533.97,37.248
2019-01-27 11:00:00,3529.73,37.248
2019-01-27 12:00:00,3534.54,37.248
2019-01-27 13:00:00,3531.62,37.248
2019-01-27 14:00:00,3511.63,37.248
2019-01-27 15:00:00,3539.7,37.248
2019-01-27 16:00:00,3545.12,37.248
2019-01-27 17:00:00,3552.99,37.248
2019-01-27 18:00:00,3548.58,37.248
2019-01-27 19:00:00,3547.75,37.248
2019-01-27 20:00:00,3551.3,37.248
2019-01-27 21:00:00,3544.41,37.248
2019-01-27 22:00:00,3541.19,37.248
2019-01-27 23:00:00,3536.08,37.248
2019-01-28 00:00:00,3526.69,37.248
2019-01-28 01:00:00,3506.72,37.248
2019-01-28 02:00:00,3502.67,37.248
2019-01-28 03:00:00,3481.66,37.248
2019-01-28 04:00:00,3469.21,37.248
2019-01-28 05:00:00,3440.41,37.248
2019-01-28 06:00:00,3411.27,39.518
2019-01-28 07:00:00,3443.76,39.441
2019-01-28 08:00:00,3417.19,39.808
2019-01-28 09:00:00,3428.76,39.617
